Gender,Year,AdjBoxOffice
m,2001,70952165
m,2006,70584224
f,2006,70584224
f,2005,70543608
f,2004,70525168
m,2007,70450449
m,2015,70369708
f,2009,70297239
m,2001,70280269
m,2013,70055671
m,2012,69943288
m,2010,69819862
f,2004,69769541
f,2002,69705516
m,2008,69519418
f,2005,69447075
m,2003,69432640
m,2001,69070857
m,2012,68907091
m,2010,68838020
m,2006,68813716
m,2006,68813716
m,2006,68813716
m,2013,68728085
m,2012,68699851
m,2005,68350543
m,2006,68223547
m,2003,68139667
m,2005,68106869
m,2006,68105514
f,2015,68060858
m,2002,67986025
m,2012,67974514
m,2001,67861445
m,2013,67808987
m,2005,67741358
m,2007,67696686
m,2011,67694491
m,2010,67637991
m,2006,67633378
m,2003,67622478
m,2007,67581946
m,2012,67560035
m,2010,67528898
m,2011,67377173
m,2006,67279277
f,2012,67249176
m,2001,67189550
m,2001,67189550
m,2007,66778765
f,2008,66645801
m,2008,66645801
m,2003,66588100
f,2003,66588100
m,2013,66583524
f,2009,66527356
m,2010,66437963
m,2002,66398803
m,2013,66379280
f,2006,66335006
m,2011,66107901
m,2004,65991407
m,2013,65766548
f,2012,65591261
m,2011,65579038
f,2010,65565214
m,2014,65528412
m,2013,65255938
m,2015,65250085
f,2006,65154668
f,2010,65128840
m,2004,65109842
m,2005,65060944
f,2009,64975051
m,2005,64939107
m,2006,64918600
m,2004,64732029
f,2012,64555064
m,2014,64523375
m,2004,64480153
m,2006,64446465
f,2008,64103756
m,2005,64086248
m,2010,63928811
f,2002,63885701
f,2006,63856296
f,2004,63850464
m,2000,63831796
f,2010,63710624
m,2003,63614263
m,2007,63336560
f,2012,63311628
f,2001,63292556
m,2002,63224358
m,2013,63009255
m,2012,63000769
m,2010,62946969
m,2004,62842962
m,2008,62666948
m,2012,62586290
m,2003,62579884
m,2006,62557924
m,2000,62450155
m,2013,62294401
m,2000,62173827
m,2005,62136857
f,2011,62088540
m,2007,62074419
m,2005,61893183
f,2005,61893183
m,2003,61804101
m,2013,61783791
f,2012,61757332
m,2006,61731687
m,2003,61545506
m,2002,61504867
m,2007,61500718
f,2005,61405835
m,2011,61348132
f,2009,61316046
m,2009,61205167
m,2003,61157614
m,2014,61106250
m,2010,61092379
m,2012,61031995
m,2000,60792187
f,2010,60765099
m,2007,60582797
m,2004,60450144
m,2004,60198268
f,2003,60123236
m,2001,60067458
m,2006,59961180
m,2005,59943791
m,2001,59664320
m,2014,59498190
m,2014,59498190
m,2013,59434986
m,2002,59388570
m,2011,59021134
m,2011,59021134
m,2001,58992425
f,2005,58969095
m,2014,58895168
f,2005,58847258
m,2011,58598043
m,2010,58583228
f,2007,58287994
m,2011,58280725
f,2010,58255947
m,2013,58209522
f,2005,58116237
f,2007,58058513
m,2012,58027024
m,2008,58024951
m,2007,57943773
m,2011,57857635
f,2010,57819573
m,2004,57805450
m,2005,57750726
f,2003,57666588
f,2011,57646089
m,2005,57628889
m,2005,57628889
m,2006,57482470
m,2009,57435284
f,2005,57385215
m,2007,57370073
m,2009,57324405
m,2004,57301699
m,2012,57301686
m,2010,57274106
f,2006,57246402
m,2011,57117226
m,2009,57102647
m,2002,57007737
m,2013,56881937
m,2013,56881937
f,2012,56783588
m,2002,56743200
m,2010,56728638
m,2012,56679968
f,2015,56616997
f,2006,56538199
m,2005,56532356
m,2011,56376818
m,2007,56337411
f,2012,56265489
f,2003,56244317
m,2007,56222671
m,2008,56146048
m,2003,56115020
f,2003,56115020
m,2004,56042321
m,2012,55954630
m,2001,55901706
m,2010,55855890
f,2012,55851010
m,2011,55742182
f,2001,55498568
f,2006,55475895
m,2001,55364189
f,2013,55350107
m,2005,55313986
m,2003,55209939
f,2012,55125673
f,2007,54960530
f,2002,54891440
m,2009,54885068
m,2011,54790228
m,2011,54790228
m,2009,54774189
m,2008,54598716
m,2007,54501569
m,2011,54472910
f,2009,54441553
m,2002,54362366
m,2013,54328887
m,2002,54230098
m,2001,54154777
m,2007,53927868
f,2015,53806224
f,2012,53778617
m,2002,53701024
f,2001,53617261
m,2013,53614034
m,2002,53568755
m,2003,53529074
f,2005,53364595
m,2010,53346738
m,2002,53304218
f,2008,53272432
m,2000,53193163
m,2003,53141183
f,2013,53001302
f,2013,53001302
m,2013,53001302
f,2005,52999084
f,2008,52940860
m,2010,52910364
m,2002,52907412
m,2004,52893876
m,2016,52800000
f,2014,52764442
m,2009,52667490
m,2014,52663939
f,2002,52642875
m,2004,52642000
m,2015,52601607
m,2002,52246070
m,2000,52087851
f,2005,52024388
f,2002,51849264
m,2014,51457894
m,2006,51344711
m,2012,51291744
m,2010,51273961
m,2011,51193958
f,2005,51171529
m,2000,51120702
m,2014,51055879
m,2013,50958862
f,2003,50943129
f,2001,50929679
m,2012,50877265
m,2008,50840910
m,2009,50782548
m,2012,50773646
m,2014,50754368
f,2014,50754368
f,2004,50626995
f,2004,50626995
m,2002,50526579
m,2001,50526541
m,2002,50394310
f,2001,50392162
m,2008,50288291
m,2007,50141443
m,2007,50141443
m,2007,50141443
m,2002,50129773
m,2010,49855745
m,2012,49841069
m,2006,49810271
m,2006,49574204
f,2007,49453003
m,2006,49220102
f,2011,49078505
m,2011,49078505
f,2002,49071625
m,2012,49012111
f,2009,49008485
f,2007,48879302
m,2003,48874372
m,2014,48844798
m,2002,48807088
m,2009,48786727
m,2005,48734790
f,2008,48630435
f,2003,48615778
m,2008,48519912
f,2008,48409388
m,2006,48275832
m,2009,48010575
m,2010,48001155
m,2001,47973339
m,2007,47846640
m,2014,47839761
f,2003,47710697
m,2003,47710697
m,2011,47597688
m,2010,47564781
f,2004,47352612
m,2006,47331561
m,2011,47280371
f,2011,47280371
m,2010,47237500
m,2014,47236739
f,2009,47234422
m,2008,47193627
m,2012,47146957
f,2004,47100737
f,2015,47080446
f,2013,47078228
m,2013,46976106
f,2013,46976106
m,2012,46939717
m,2006,46859426
f,2009,46790907
m,2001,46763927
m,2000,46699452
m,2010,46692033
f,2009,46680028
f,2005,46663561
m,2008,46641008
m,2001,46629548
m,2002,46558523
f,2003,46547021
m,2014,46533213
f,2006,46505325
f,2011,46434189
m,2002,46426254
m,2012,46421619
m,2012,46317999
m,2008,46309437
m,2003,46288427
m,2010,46255658
f,2010,46255658
m,2008,46198914
m,2002,46161717
f,2006,46151223
f,2009,46014754
m,2007,46010798
m,2012,45903520
m,2000,45732304
m,2001,45688894
m,2013,45648520
m,2007,45551838
m,2007,45437097
m,2003,45383346
m,2003,45383346
f,2006,45324986
m,2006,45324986
m,2000,45317812
m,2011,45059145
m,2009,45016844
m,2008,44872629
m,2007,44748657
m,2001,44748240
m,2010,44728349
m,2015,44671212
m,2003,44607562
f,2006,44380716
m,2003,44348967
f,2005,44226821
m,2003,44219670
f,2003,44219670
m,2008,44209487
f,2006,44144648
m,2006,44144648
m,2006,44026614
m,2013,43912446
m,2013,43912446
m,2010,43855601
f,2012,43831127
m,2007,43830735
m,2014,43819613
m,2013,43810325
m,2000,43798007
m,2005,43739474
m,2001,43673207
m,2002,43648615
f,2010,43637414
m,2005,43617637
m,2006,43554479
m,2008,43546344
m,2001,43538828
f,2012,43520268
m,2003,43443886
m,2008,43435821
m,2011,43366783
m,2004,43196665
m,2015,43165441
f,2000,43107187
m,2002,42987272
f,2010,42982852
m,2004,42944789
m,2013,42891227
m,2015,42864287
m,2015,42864287
f,2002,42855004
m,2006,42846276
f,2004,42818852
m,2014,42814576
m,2015,42763902
m,2006,42728242
m,2009,42688386
m,2005,42642941
f,2012,42587691
f,2011,42520602
m,2014,42513065
m,2012,42484071
m,2009,42466629
m,2002,42458198
m,2004,42441038
f,2001,42329416
m,2009,42244871
m,2007,42224373
f,2007,42224373
m,2008,42220060
m,2014,42211554
m,2005,42155593
m,2008,42109536
m,2001,42060658
m,2006,42020039
m,2000,42001874
m,2001,41926279
m,2007,41880153
m,2001,41791900
m,2010,41673730
f,2008,41667441
m,2006,41665938
m,2000,41587382
m,2009,41468718
m,2009,41468718
m,2006,41429870
m,2003,41375130
m,2001,41254383
f,2011,41251330
m,2004,41181660
f,2010,41128262
f,2004,41055722
m,2009,41025202
m,2006,40957735
m,2005,40937223
f,2010,40910075
f,2008,40893775
m,2013,40848787
m,2000,40758398
f,2011,40722467
m,2009,40692566
f,2007,40618011
f,2011,40405149
m,2006,40367566
f,2004,40300096
m,2007,40273791
m,2005,40206201
m,2001,40179351
m,2007,40159051
m,2011,40087831
m,2003,40082157
m,2002,40077365
f,2002,40077365
m,2002,40077365
f,2010,40037327
m,2006,40013464
f,2005,39962527
f,2003,39952860
f,2002,39945096
m,2008,39899062
f,2012,39893579
f,2011,39876286
m,2002,39812828
m,2002,39812828
m,2002,39812828
m,2009,39805534
f,2006,39777397
f,2001,39776213
m,2011,39770513
f,2005,39718853
m,2005,39718853
m,2004,39670407
m,2006,39659363
m,2005,39597016
f,2011,39558968
m,2000,39514921
f,2008,39456967
m,2011,39453195
m,2011,39453195
f,2011,39453195
f,2003,39435671
f,2012,39375480
m,2011,39241650
m,2011,39135877
m,2013,39112714
m,2014,39095939
m,2003,39047779
f,2003,39047779
m,2004,39040718
f,2005,38987832
m,2005,38987832
m,2016,38900000
m,2012,38857382
m,2010,38837298
f,2000,38824101
f,2011,38818559
m,2011,38818559
f,2013,38806348
m,2008,38793824
m,2003,38789184
m,2009,38696745
m,2005,38622321
f,2011,38501241
f,2012,38442903
m,2005,38378647
m,2002,38357874
m,2001,38298043
m,2005,38256810
m,2012,38235664
m,2007,37864248
m,2007,37864248
m,2008,37688587
m,2013,37683006
m,2011,37655060
m,2005,37647625
m,2007,37634767
m,2012,37613946
f,2009,37477077
m,2002,37431994
m,2002,37431994
m,2007,37405287
m,2001,37357390
m,2001,37223010
m,2006,37180653
m,2011,37126197
m,2012,37095847
m,2008,37025445
m,2011,37020424
m,2011,37020424
m,2009,36922682
f,2009,36922682
f,2009,36922682
m,2008,36914921
f,2008,36914921
m,2004,36773837
m,2010,36655427
f,2015,36640432
m,2007,36602106
m,2014,36583347
f,2012,36577749
m,2011,36491561
m,2001,36416736
f,2012,36370509
m,2008,36362303
m,2012,36266890
m,2009,36257409
m,2003,36203239
m,2007,36143146
m,2014,36080828
f,2013,36049055
m,2002,35977040
m,2011,35962698
m,2005,35941907
m,2009,35924772
f,2007,35913665
m,2001,35879219
f,2001,35744840
m,2001,35744840
f,2010,35673586
m,2012,35645172
m,2004,35640397
m,2009,35592135
f,2008,35588637
f,2010,35564492
m,2005,35454559
f,2004,35388521
m,2008,35367589
m,2010,35346305
f,2012,35230693
m,2009,35148619
m,2009,35148619
m,2009,35148619
m,2008,35036018
f,2008,35036018
f,2013,35027835
m,2011,34904971
m,2011,34904971
m,2008,34814971
f,2015,34733122
f,2008,34704447
f,2008,34704447
m,2016,34600000
m,2008,34593923
m,2000,34541015
m,2002,34522086
m,2012,34505355
m,2008,34483399
m,2005,34479863
m,2014,34472769
m,2010,34364463
m,2013,34312981
m,2003,34263779
m,2005,34114353
m,2005,34114353
f,2016,34100000
m,2003,34005185
m,2001,33997912
f,2001,33997912
f,2002,33993012
f,2010,33928089
m,2010,33928089
m,2003,33875888
m,2008,33820257
f,2010,33818995
m,2003,33746590
m,2002,33728475
m,2011,33635700
m,2004,33625392
m,2002,33596207
m,2006,33521604
f,2015,33428120
m,2006,33403571
m,2002,33331670
f,2009,33263678
f,2006,33167503
m,2008,33157115
m,2008,33046591
f,2010,32946247
f,2013,32883274
m,2013,32883274
m,2013,32883274
m,2000,32883046
m,2009,32820162
m,2007,32815681
m,2006,32813401
m,2001,32788500
f,2012,32743820
m,2013,32679030
m,2005,32652309
m,2007,32586201
m,2014,32563199
m,2001,32519742
f,2002,32273521
m,2009,32265767
m,2012,32225722
f,2012,32018483
m,2011,31943337
f,2013,31862054
m,2005,31799450
m,2006,31751097
f,2011,31731792
m,2015,31721580
f,2008,31720307
m,2001,31713467
f,2009,31711373
f,2016,31700000
f,2005,31677613
m,2007,31668280
f,2010,31637125
m,2008,31609783
m,2009,31600494
f,2005,31555776
m,2007,31553540
m,2004,31484450
m,2006,31396996
m,2013,31351444
m,2001,31310330
m,2010,31309844
f,2005,30946591
m,2014,30854636
m,2005,30824754
m,2002,30818568
m,2011,30779838
m,2011,30779838
m,2014,30754132
m,2014,30754132
m,2009,30713462
m,2001,30369676
m,2012,30049708
f,2005,29971895
m,2010,29891628
m,2003,29867672
m,2003,29738374
m,2005,29728221
f,2005,29728221
m,2012,29635230
m,2002,29628151
f,2008,29620356
f,2008,29620356
f,2008,29620356
f,2005,29606384
m,2009,29604673
m,2007,29602957
f,2007,29602957
m,2004,29595383
f,2001,29563402
m,2013,29513249
m,2011,29510567
m,2013,29411127
m,2002,29363614
m,2003,29350483
f,2007,29258737
m,2007,29258737
m,2005,29240874
m,2004,29217569
m,2011,29193249
m,2008,29178261
f,2002,29099077
f,2000,29014452
m,2014,28945065
m,2015,28910807
m,2008,28846690
m,2007,28799776
f,2004,28713818
m,2008,28625642
m,2001,28622748
m,2010,28582506
m,2010,28582506
m,2007,28570296
m,2008,28515119
m,2003,28445402
f,2009,28385005
m,2006,28328116
f,2013,28287785
m,2009,28274126
f,2009,28274126
f,2010,28255225
m,2011,28241295
m,2008,28183548
m,2005,28144341
m,2012,28080934
m,2003,28057510
m,2003,28057510
m,2002,28040928
f,2010,28037038
m,2006,27974015
m,2002,27908660
m,2005,27900667
m,2007,27881855
m,2007,27881855
m,2013,27879297
m,2015,27806575
m,2002,27776391
m,2009,27719731
f,2005,27656993
m,2002,27511854
m,2015,27505420
m,2015,27505420
m,2006,27501880
m,2013,27470809
m,2004,27454440
m,2008,27409882
m,2015,27405036
m,2010,27382477
f,2012,27355597
m,2016,27300000
m,2010,27273383
f,2007,27193414
m,2005,27169645
f,2013,27164443
m,2006,27147778
m,2007,27078674
m,2007,27078674
m,2003,27023132
m,2010,26946103
m,2005,26925971
m,2012,26837498
m,2009,26610942
f,2001,26607061
m,2004,26572875
f,2005,26560460
m,2006,26557609
m,2013,26551712
m,2011,26548933
m,2010,26509729
f,2006,26439575
m,2015,26401188
m,2003,26376645
m,2004,26321000
m,2013,26245346
m,2011,26231615
f,2012,26215780
m,2010,26182448
f,2010,26182448
m,2011,26020069
m,2008,25973073
m,2011,25914297
f,2004,25691311
f,2008,25641502
m,2013,25632614
m,2001,25532029
m,2001,25532029
m,2014,25527939
m,2009,25502153
f,2001,25397650
m,2009,25391274
f,2003,25342267
f,2008,25309931
m,2010,25309700
f,2012,25283203
m,2002,25263289
m,2006,25141203
m,2002,25131021
m,2002,25131021
m,2014,25125925
m,2010,25091513
m,2003,25083672
m,2004,25061622
m,2006,25023169
m,2006,25023169
m,2002,24998752
m,2008,24867836
m,2005,24854742
f,2009,24836879
m,2004,24809746
m,2001,24725754
m,2006,24669068
m,2007,24554391
m,2000,24455038
m,2011,24433480
m,2005,24367395
m,2007,24324910
m,2002,24072872
m,2001,24053859
f,2007,23865950
f,2006,23842831
f,2006,23842831
m,2004,23802244
f,2011,23798844
m,2005,23636373
m,2000,23626054
m,2002,23543798
m,2007,23521729
m,2014,23517865
f,2010,23455110
m,2005,23392699
f,2001,23381963
m,2014,23316858
m,2007,23292249
