imdbID,Title,Year,Cast,Meter,Metacritic,AdjBoxOffice,LeadActor,Gender
tt0454876,Life of Pi,2012,"Suraj Sharma, Irrfan Khan, Ayush Tandon, Gautam Belur",86,79,"$107,246,375",Suraj Sharma,m
tt1446192,Rise of the Guardians,2012,"Chris Pine, Alec Baldwin, Jude Law, Isla Fisher",74,57,"$107,142,755",Chris Pine,m
tt1253863,300: Rise of an Empire,2014,"Sullivan Stapleton, Eva Green, Lena Headey, Hans Matheson",42,48,"$107,136,944",Sullivan Stapleton,m
tt0362120,Scary Movie 4,2006,"Anna Faris, Regina Hall, Craig Bierko, Bill Pullman",37,40,"$107,056,674",Anna Faris,f
tt0329101,Freddy vs. Jason,2003,"Robert Englund, Ken Kirzinger, Monica Keena, Jason Ritter",41,37,"$106,282,366",Robert Englund,m
tt1284575,Bad Teacher,2011,"Cameron Diaz, Lucy Punch, Jason Segel, Justin Timberlake",44,47,"$106,089,960",Cameron Diaz,f
tt0432348,Saw II,2005,"Tobin Bell, Shawnee Smith, Donnie Wahlberg, Erik Knudsen",36,40,"$105,998,168",Tobin Bell,m
tt0409847,Cowboys & Aliens,2011,"Daniel Craig, Abigail Spencer, Buck Taylor, Matthew Taylor",44,50,"$105,984,187",Daniel Craig,m
tt0357413,Anchorman: The Legend of Ron Burgundy,2004,"Will Ferrell, Christina Applegate, Paul Rudd, Steve Carell",66,63,"$105,913,690",Will Ferrell,m
tt0331632,Scooby-Doo 2: Monsters Unleashed,2004,"Freddie Prinze Jr., Sarah Michelle Gellar, Matthew Lillard, Linda Cardellini",21,34,"$105,787,752",Freddie Prinze Jr.,m
tt1285016,The Social Network,2010,"Jesse Eisenberg, Rooney Mara, Bryan Barter, Dustin Fitzsimons",96,95,"$105,711,635",Jesse Eisenberg,m
tt0377981,Gnomeo & Juliet,2011,"James McAvoy, Emily Blunt, Ashley Jensen, Michael Caine",55,53,"$105,561,096",James McAvoy,m
tt0332379,School of Rock,2003,"Jack Black, Adam Pascal, Lucas Papaelias, Chris Stack",92,82,"$104,989,393",Jack Black,m
