"Data Source","World Development Indicators",

"Last Updated Date","2017-04-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Belgium","BEL","GDP per capita (current US$)","NY.GDP.PCAP.CD","1273.69165910289","1350.19767333123","1438.5232330684","1535.02372901043","1701.84627554319","1835.59476553194","1957.62608042762","2086.63600544654","2222.36151051913","2458.08182003773","2780.69881043476","3099.43309073795","3852.14536284889","4927.20058753027","5764.49533027282","6737.25461869561","7281.82462124151","8472.06247123473","10344.8569090958","11873.8466230066","12932.8728254257","10679.6739869067","9393.8855692748","8893.59453550579","8502.54662972082","8797.6679901166","12235.1957023415","15216.8854016071","16478.8471704714","16613.532352038","20710.6639265195","21154.3118295821","23497.7496151112","22403.2380009978","24338.1606937986","28565.9461495143","27701.8519735545","25027.7778163399","25541.7182931865","25444.1392583071","23207.4059110078","23121.566347019","25052.3302823","30743.9569254283","35589.7129457001","36967.2829204297","38852.3610339939","44403.8313061102","48424.5892730273","44880.5601517887","44382.8797683492","47699.8070518961","44740.5717021938","46508.1305921633","47346.7573844974","40454.169971736","",
"Benin","BEN","GDP per capita (current US$)","NY.GDP.PCAP.CD","93.0225855014394","95.5669226667227","94.4518553431204","99.8404246691487","104.323752150419","110.132626482936","112.97356392098","112.0276575051","117.022459820876","116.188494926579","114.736678929676","112.745500403866","135.008686523387","162.174930794702","174.170702132864","207.440590072241","208.76043509936","218.529278694994","263.631031622318","327.823218122206","377.956556288723","337.794447790784","322.478760893075","270.767118144145","252.435639995334","243.911489224467","302.665573448618","343.679122302629","345.809286802382","310.632725311817","391.893429442774","383.295374340396","315.218309104727","407.450158546797","276.159118910111","362.470968260096","382.285463258335","356.578243609488","375.024090350248","399.049255834198","369.700868089261","373.553613621788","411.959075281789","509.461088697817","570.685501333771","587.080212422838","609.018608681583","685.551675107742","794.870176064085","768.013476447657","732.953622726674","799.03555913143","811.216240825005","887.089966726358","915.926640778784","762.051205441965","",
"Burkina Faso","BFA","GDP per capita (current US$)","NY.GDP.PCAP.CD","68.4247060632417","71.5582093322122","76.5206268252379","78.3721187055041","80.4727351807135","81.7251312881945","82.5456368946943","84.3631491509386","84.7330649398879","86.5202424138862","81.4999421514281","84.287844467829","99.3267981275954","113.780507595989","124.358968684245","152.728145667727","155.648997960296","176.783312412316","225.941617941018","262.075891796203","282.685859596399","254.230853466816","245.094668199586","217.994691451055","193.843188807625","200.894292532044","256.762448311738","291.131856585114","313.061853631572","304.853367718606","351.979362800102","346.410442780194","240.963403226136","244.127150168696","193.070275634349","235.832244046072","249.358755868197","229.488061295294","255.709631027055","265.155024782095","226.475942346119","235.481751376203","260.983749186463","323.96256427596","371.497021458674","406.67355596274","422.422337510695","474.088540012772","567.73418665644","537.263428705537","575.011881752413","667.17341945712","673.06251119393","698.335034928403","696.856206759424","589.774414136617","",
"Bangladesh","BGD","GDP per capita (current US$)","NY.GDP.PCAP.CD","88.689453391453","97.1411474898997","99.5758023900608","101.26014812563","99.5033311720445","105.787309773651","111.653724030455","121.652656325163","121.516964920624","133.564535478339","138.245986024041","131.770232668267","93.0510024546372","117.781906497143","179.164175467164","272.970178520067","138.723224411752","128.942513021905","172.60620026139","196.678005937165","222.924264551112","242.222431237132","215.742185824503","199.691619358106","208.932598376714","239.513836321076","227.879136428911","247.562047466689","263.734115667125","278.351603723564","298.144991987964","285.296976047095","285.697809830392","292.36452625824","291.325867934201","320.36192771435","383.829955081784","390.407905394037","396.169649473801","398.229546291623","406.531740491075","403.594546213657","401.708153328187","434.046563233432","462.274879844841","485.852888073473","495.853780201055","543.082263122362","618.075883559283","683.614422272329","760.331935200195","838.547801702232","858.933362587621","954.396399715624","1086.80008676935","1211.70153057661","",
"Bulgaria","BGR","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","2238.80295786574","2234.81481573125","2169.00401089683","1852.81343442802","1963.57267618274","1914.55064658793","2260.4272811545","3132.30136036246","2511.39306259489","2477.0208179596","2366.52982128614","1267.73437541485","1211.98087810931","1278.24717346108","1148.4943993817","1554.04693051431","1208.85023311979","1346.91277031093","1771.99394273504","1643.6098949729","1609.2805861652","1764.90738653271","2087.53484250581","2710.46802357321","3381.50783656134","3893.68998049907","4513.13627954383","5932.89967659315","7296.12247858585","6955.98773253421","6843.26328885315","7813.80349946173","7378.02553944156","7674.86055914027","7853.33519086217","6993.47735975728","",
"Bahrain","BHR","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","8537.59725833446","9269.14573721663","9446.15800194601","9421.45200488016","9590.77730477644","8706.82887793446","7041.48824998507","7554.71344970823","7958.11496775023","8030.25367531007","8528.75976731759","9057.56337486867","9088.63129038702","9707.56695535272","10138.4745861281","10376.3642508806","10523.0815223982","10620.3434291409","10005.2367523625","10330.7365414172","13590.5210501438","12917.3955022801","13279.0457951397","14541.6160485141","16275.1804236433","18418.0726743768","19669.3195545631","21167.6187062133","23043.0253174017","19166.7082382358","20386.0175551116","22033.9106201625","23057.7675759542","24113.5248437757","24514.9991306142","22600.2140981035","",
"Bahamas, The","BHS","GDP per capita (current US$)","NY.GDP.PCAP.CD","1550.35262466106","1651.47547707967","1752.97029278086","1867.14231443416","1994.55983804174","2144.90754566434","2322.97559509169","2556.8688096311","2804.66976898495","3215.44751842899","3179.23872607179","3297.92312514738","3322.57484087178","3696.64277173823","3416.58697871927","3156.46805942334","3328.58142609056","3617.12273866415","4130.79186744148","5531.9897300498","6338.64995727713","6622.43969471319","7165.13449097719","7695.0063281302","8873.73052309405","9888.61575565441","10339.4777779636","11150.7816640714","11381.9594791094","12157.7892041055","12350.8804781187","11914.8121340242","11682.1288603818","11402.651522136","11812.1223763424","12239.8278071469","12717.0603822518","17288.0565080427","18456.9907672364","20505.947433679","21241.1653927108","21497.3081566811","22505.4047934793","22008.4337005989","21995.5199216219","23405.8795479327","23721.1562800587","24306.1424243044","23657.365306222","22043.0125711709","21920.5165867583","21514.8986531628","22554.5157201628","22554.4541222366","22497.4497068298","22817.2308572518","",
"Bosnia and Herzegovina","BIH","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","314.559604678608","481.165039921515","731.12095121787","971.546064284666","1090.25705604444","1238.17338507275","1451.66400183674","1512.99301405557","1746.48638346723","2192.64707824367","2619.75325753727","2928.26359035282","3351.96339986152","4107.99623197216","4974.66226666137","4586.20631315947","4475.08813004565","4860.78181134244","4494.64064038047","4748.04069226421","4852.31864873611","4249.3303131949","",
"Belarus","BLR","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1704.74030406477","1747.43867127761","1666.22751294157","1590.03540902938","1460.01754360249","1370.67270975184","1452.44700181708","1396.50216637274","1511.77026798131","1210.61159956775","1276.28799974215","1244.37318523431","1479.38314151115","1819.52564412303","2378.33920660218","3126.07176665248","3848.21596648735","4735.48482673686","6376.18315298455","5176.17264927017","5818.49741095547","6305.65917146233","6721.48335086534","7722.12579792925","8032.49489112848","5754.60193910805","",
"Belize","BLZ","GDP per capita (current US$)","NY.GDP.PCAP.CD","304.90385978004","316.410288303035","327.110072611309","336.934738453165","351.157719253687","377.587188868651","406.109108918591","420.405774184577","386.95323701087","396.657632245153","435.701167419374","474.448018087463","519.571680246642","605.933440702651","786.075078587466","885.977880569269","717.050794305469","858.815542626888","980.773105373744","1074.24915786792","1351.01386740293","1307.21168832929","1183.1839364216","1212.93800539084","1315.31351735665","1268.22139755997","1343.6928702011","1586.39560363916","1758.97221058511","1979.34267182646","2202.32255587784","2326.83372835863","2666.92277211418","2833.07567745363","2880.15400787394","2996.39740628714","3001.69323361757","2952.57549366449","2991.86001068223","3065.51789778432","3364.46452254642","3419.20867174662","3556.61608225719","3679.8821355917","3831.59348393623","3933.30443019911","4187.32042587768","4324.93438917012","4473.41790859737","4263.80711218649","4348.01953874968","4522.86186187855","4674.29344667534","4723.5943547037","4884.36856220286","4878.72126724745","",
